"bioID","firstName","middleName","lastName","nameGiven","fullGivenName","marriedName","nameNick","pos","firstseason","lastseason","height","weight","college","collegeOther","birthDate","birthCity","birthState","birthCountry","highSchool","hsCity","hsState","hsCountry","deathDate"
"batkosu01w","Suzy","","Batkovic","","Suzy Batkovic","Suzy Brown","","C","0","0","76","203","","","1980-12-17","Newcastle","NSW","AUS","","","","","0000-00-00"
"batteja01w","Jacqueline","","Batteast","","Jacqueline Batteast","","","F","0","0","73","163","Notre Dame","","1983-03-26","","","","","","","","0000-00-00"
"battlas01w","Ashley","","Battle","","Ashley Battle","","","F","0","0","72","170","Connecticut","","1982-05-31","","","","The Linsley School","Pittsburgh","PA","USA","0000-00-00"
"bauerca01w","Cass","","Bauer-Bilodeau","","Cass Bauer-Bilodeau","","","F-C","0","0","76","180","Montana State","","1972-06-27","","","","","","","","0000-00-00"
"beardal01w","Alana","","Beard","","Alana Beard","","","G-F","0","0","71","160","Duke","","1982-05-14","","","","Southwood","Frierson","LA","USA","0000-00-00"
"becenry01w","Ryneldi","","Becenti","","Ryneldi Becenti","","","G","0","0","66","140","Arizona State","Scottsdale CC (JC)","1971-08-11","Fort Defiance","AZ","USA","Window Rock","Window Rock","AZ","USA","0000-00-00"
"beckan99wc","Angela","","Beck","","Angela Beck","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"beckki01w","Kimberly","","Beck","","Kimberly Beck","","","G","0","0","68","125","George Washington","","1985-12-27","","","","","","","","0000-00-00"
"bellje01w","Jennifer","","Bell","","Jennifer Bell","","","F","0","0","73","160","Florida International","","1970-05-26","","","","","","","","0000-00-00"
"bennije01w","Jenni","","Benningfield","","Jenni Benningfield","","","F","0","0","75","185","Vanderbilt","","1981-10-06","","","","","","","","0000-00-00"
"berezva01w","Valeriya","","Berezhynska","","Valeriya Berezhynska","","","C","0","0","76","0","Rice","","1986-04-10","Nikolaev","UKR","URS","Northwest Christian Academy","Fort Worth","TX","USA","0000-00-00"
"berggas01w","Ashley","","Berggren","","Ashley Berggren","","","G","0","0","70","170","Illinois","","1976-11-18","","","","","","","","0000-00-00"
"berrysh01w","Shanda","","Berry","","Shanda Berry","","","F-C","0","0","75","175","Iowa","","1967-07-06","","","","","","","","0000-00-00"
"berthlu01w","Lucienne","","Berthieu","","Lucienne Berthieu","","","F-C","0","0","74","188","Old Dominion","","1978-03-31","","","","","","","","0000-00-00"
"berubca01w","Carla","","Berube","","Carla Berube","","","F","0","0","72","155","Connecticut","","1975-09-02","","","","","","","","0000-00-00"
"beviltu01w","Tully","Louise","Bevilaqua (nee Crook)","","Tully Bevilaqua","","","G","0","0","67","145","","","1972-07-19","Merredin","WA","AUS","","","","","0000-00-00"
"bibbyhe01w","Henry","","Bibby","","Henry Bibby","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"bibbyje01w","Jessica","","Bibby","","Jessica Bibby","","","G","0","0","67","139","","","1979-08-23","","","","","","","","0000-00-00"
"bibrzag01w","Agnieszka","","Bibrzycka","","Agnieszka Bibrzycka","","","G-F","0","0","74","168","","","1982-10-21","","","","","","","","0000-00-00"
"birdsu01w","Suzanne","Brigit","Bird","","Sue Bird","","Sue","G","0","0","69","150","Connecticut","","1980-10-16","Syosset","NY","USA","Christ the King","Middle Village","NY","USA","0000-00-00"
"bishoab01w","Abby","","Bishop","","Abby Bishop","","","F-C","0","0","74","0","","","1988-11-29","Booleroo Centre","SA","AUS","","","","","0000-00-00"
"bjedoni01w","Nina","","Bjedov","","Nina Bjedov","","","C","0","0","78","195","","","1971-05-18","","","","","","","","0000-00-00"
"bjorkan01w","Angie","","Bjorklund","","Angie Bjorklund","","","F","0","0","72","166","Tennessee","","1989-07-14","Spokane Valley","WA","USA","University","Spokane Valley","WA","USA","0000-00-00"
"bjorkte01w","Tera","","Bjorklund","","Tera Bjorklund","","","C","0","0","76","175","Colorado","","1982-06-29","","","","","","","","0000-00-00"
"blackch01w","Chante","","Black","","Chante Black","","","C","0","0","77","188","Duke","","1985-11-12","","","","East Forsyth","Kernersville","NC","USA","0000-00-00"
"blackde01w","Debbie","","Black","","Debbie Black","","","G","0","0","63","124","St. Joseph's","","1966-07-29","","","","","","","","0000-00-00"
"bladerh01w","Rhonda","Renae","Blades","","Rhonda Blades","Rhonda Brown (Parke Brown  1995)","","G","0","0","67","138","Vanderbilt","","1972-10-29","Springfield","MO","USA","Parkview","Springfield","MO","USA","0000-00-00"
"blodgci01w","Cindy","Lee","Blodgett","","Cindy Blodgett","","","G","0","0","69","130","Maine","","1975-12-23","Waterville","ME","USA","Lawrence","Fairfield","ME","USA","0000-00-00"
"blueni01w","Nikki","","Blue","","Nikki Blue","","","G","0","0","68","163","UCLA","","1984-03-29","","","","West Bakersfield","Bakersfield","CA","USA","0000-00-00"
"blueoc01w","Octavia","","Blue","","Octavia Blue","","","F","0","0","73","163","Miami (FL)","","1976-08-18","","","","","","","","0000-00-00"
"bobbish01w","Shannon","","Bobbitt","","Shannon Bobbitt","","","G","0","0","62","130","Tennessee","","1985-12-06","","","","","","","","0000-00-00"
"boddiwh01w","Whitney","Erinn","Boddie","","Whitney Boddie","","","G","0","0","69","149","Auburn","","1987-01-23","","","","Florence","Florence","AL","USA","0000-00-00"
"boguemu01w","Muggsy","","Bogues","","Muggsy Bogues","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"boldeba01w","Barbara","","Bolden","","Barbara Bolden","","","G","0","0","74","180","Louisiana Tech","","1969-06-16","","","","Huntington","Huntington","LA","USA","0000-00-00"
"boltoru01w","Alice","Ruth","Bolton","","Ruthie Bolton","Ruth Bolton-Holifield (Mark Holifield 1991)","Ruthie","G","0","0","69","150","Auburn","","1967-05-25","Lucedale","MS","USA","McClain","McClain","MS","USA","0000-00-00"
"bondla01w","LaToya","","Bond","","LaToya Bond","","","G","0","0","67","132","Missouri","","1984-02-13","","","","","","","","0000-00-00"
"bonfisu01w","Susanna","","Bonfiglio","","Susanna Bonfiglio","","","G","0","0","68","145","","","1974-09-08","Savonna","","ITA","","","","","0000-00-00"
"bonnede01w","DeWanna","","Bonner","","DeWanna Bonner","","","G","0","0","76","136","Auburn","","1987-08-21","","","","Fairfield","Fairfield","AL","USA","0000-00-00"
"bookeka01w","Karen","","Booker","","Karen Booker","","","C","0","0","73","170","Vanderbilt","","1965-04-10","Franklin","TN","USA","","","","","0000-00-00"
"bosweca01w","Catherine","La Ora","Boswell","","Cathy Boswell","","Cathy","F-G","0","0","72","168","Illinois State","","1962-11-10","Joliet","IL","USA","","","","","0000-00-00"
"bouceje01w","Jenny","","Boucek","","Jenny Boucek","","","G","0","0","68","130","Virginia","","1973-12-20","","","","","","","","0000-00-00"
"bouchke01w","Kelly","Anne","Boucher","","Kelly Boucher","","","F","0","0","74","163","","","1968-01-13","Calgary","AB","CAN","","","","","0000-00-00"
"bowenli01w","Lindsay","","Bowen","","Lindsay Bowen","","","G","0","0","67","145","Michigan State","","1983-10-25","","","","","","","","0000-00-00"
"boydca01w","Carla","Maree","Boyd","","Carla Boyd","Carla Porter","","F","0","0","73","172","","","1975-10-31","Wynyard","TAS","AUS","","","","","0000-00-00"
"boyerli99w","Lisa","","Boyer","","Lisa Boyer","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"bradlki01w","Kisa","","Bradley","","Kisa Bradley","","","F-C","0","0","77","185","Oral Roberts","","1974-08-26","","","","","","","","0000-00-00"
"brancli01w","Lisa","","Branch","","Lisa Branch","","","G","0","0","64","0","Texas A&M","","0000-00-00","","","","","","","","0000-00-00"
"branzal01w","Albena","Boicheva","Branzova","","Albena Branzova","","","F","0","0","76","180","Florida International","","1971-07-17","","","","","","","","0000-00-00"
"branzge01w","Gergana","Boicheva","Branzova","","Gergana Branzova","","Gigi,Branzi","F","0","0","76","175","Florida International","","1976-07-25","Bourgas","","BUL","Jurii Gagarin","Bourgas","","BUL","0000-00-00"
"braxtja01w","Janice","Faye","Braxton (nee Lawrence)","","Janice Braxton","","","F-C","0","0","75","178","Louisiana Tech","","1973-10-06","Lucedale","MS","USA","","","","","0000-00-00"
"braxtka01w","Kara","","Braxton","","Kara Braxton","","","F-C","0","0","78","210","Georgia","","1983-02-18","","","","","","","","0000-00-00"
"brazian01w","Angie","","Braziel","","Angie Braziel","","","F","0","0","74","169","Texas Tech","","1976-09-18","","","","","","","","0000-00-00"
"brcanra01w","Razija","Mijanovic","Brcaninovic","","Razija Brcaninovic","Razija Gibanica (Mirza Brcaninovic 1998)","","C","0","0","80","198","none","","1967-04-15","Ratkovac","SRB","YUG","","","","","0000-00-00"
"brelaje01w","Jessica","","Breland","","Jessica Breland","","","F","0","0","75","170","North Carolina","","1988-02-23","","","","Bertie","Windsor","NC","USA","0000-00-00"
"bristre01w","Reshea","","Bristol","","Reshea Bristol","","","G","0","0","70","139","Arizona","","1978-02-10","","","","","","","","0000-00-00"
"brogami01w","Michelle","Kathleen","Brogan","","Michelle Brogan","Michelle Griffiths","","F","0","0","73","177","","","1973-02-08","Adelaid","SA","AUS","","","","","0000-00-00"
"brondsa01w","Sandra","Anne","Brondello","","Sandy Brondello","","Sandy","G","0","0","67","136","U. Western Sydney","","1968-08-20","Eton","QLD","AUS","Mirani State","Mirani","Qld","AUS","0000-00-00"
"brownci01w","Cynthia","Louise","Brown","","Cindy Brown","","Cindy","F-C","0","0","74","183","Long Beach State","","1965-03-16","Portland","OR","USA","Ulysses S. Grant","Portland","OR","USA","0000-00-00"
"brownco01w","Coretta","","Brown","","Coretta Brown","","","G","0","0","69","150","North Carolina","","1980-10-21","","","","Southeast Bulloch","Brooklet","GA","USA","0000-00-00"
"brownde01w","Dee","","Brown","","Dee Brown","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"browned01w","Edwina","","Brown","","Edwina Brown","","","G-F","0","0","69","163","Texas","","1978-07-01","","","","","","","","0000-00-00"
"brownki01w","Kiesha","","Brown","","Kiesha Brown","","","G","0","0","70","134","Georgia","","1979-01-13","Atlanta","GA","USA","Woodward Academy","Atlanta","GA","USA","0000-00-00"
"brownla01w","La'Shawn","","Brown","","La'Shawn Brown","","","C","0","0","75","180","Louisiana Tech","","1972-12-01","","","","","","","","0000-00-00"
"brownle01w","Lesley","","Brown","","Lesley Brown","","","F","0","0","72","166","Virginia","","1977-06-03","","","","","","","","0000-00-00"
"brownru01w","Yerushia","","Brown","","Rushia Brown","","Rushia","F","0","0","74","175","Furman","","1972-05-05","New York","NY","USA","Summerville","Summerville","SC","USA","0000-00-00"
"brucegr99w","Greg","","Bruce","","Greg Bruce","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"brumfma01w","Marla","","Brumfield","","Marla Brumfield","","","G","0","0","68","133","Rice","","1978-06-06","","","","","","","","0000-00-00"
"brungje01w","Jessica","","Brungo","","Jessica Brungo","","","F","0","0","73","165","Penn State","","1982-04-16","","","","","","","","0000-00-00"
"brunsre01w","Rebekkah","","Brunson","","Rebekkah Brunson","","","F","0","0","75","175","Georgetown","","1981-12-11","","","","","","","","0000-00-00"
"bryanjo01w","Joe","","Bryant","","Joe Bryant","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"bullevi01w","Victoria","Andrea","Bullett","","Vicky Bullett","","Vicky","F","0","0","75","185","Maryland","","1967-10-04","Martinsburg","WV","USA","Martinsburg","Martinsburg","WV","USA","0000-00-00"
"burgean01w","Annie","Lilian","Burgess","","Annie Burgess","Annie LaFleur","","G","0","0","67","141","","","1969-04-10","Port Moresby","","PNG","","","","","0000-00-00"
"burgehe01w","Heather","","Burge","","Heather Burge","","","C","0","0","77","195","Virginia","","1971-11-11","Harbor City","CA","USA","Palos Verdes","Palos Verdes","CA","USA","0000-00-00"
"burgehe02w","Heidi","Ann","Burge","","Heidi Burge","","","F","0","0","77","180","Virginia","","1971-11-11","Harbor City","CA","USA","Palos Verdes","Palos Verdes","CA","USA","0000-00-00"
"burgeli01w","Linda","Gail","Burgess","","Linda Burgess","Linda Givens (Carmen Givens 1998)","","F","0","0","73","173","Alabama","","1969-07-27","Madison","AL","USA","Bob Jones","Madison","AL","USA","0000-00-00"
"burraal01w","Alisa","","Burras","","Alisa Burras","","","C","0","0","75","218","Louisiana Tech","","1975-06-23","","","","","","","","0000-00-00"
"burseja01w","Janell","","Burse","","Janell Burse","","","C","0","0","77","199","Tulane","","1979-05-19","","","","","","","","0000-00-00"
"buttsta01w","Tasha","","Butts","","Tasha Butts","","","G","0","0","71","160","Tennessee","","1982-03-10","","","","","","","","0000-00-00"
"byearla01w","Latasha","Nashay","Byears","","Latasha Byears","","","G-F","0","0","71","206","DePaul","NE Oklahoma A&M (JC)","1973-08-12","Memphis","TN","USA","Bolton","Millington","TN","USA","0000-00-00"
"byrdla01w","Laurie","","Byrd","","Laurie Byrd","","","G","0","0","66","131","Eastern Michigan","","1960-02-01","","","","","","","","0000-00-00"
"cabezli01w","Liliana","","Cabezas","","Liliana Cabezas","","","F-C","0","0","75","178","Central Florida CC","","1973-10-25","","","COL","","","","","0000-00-00"
"cainke01w","Kelley","","Cain","","Kelley Cain","","","C","0","0","78","220","Tennessee","","1989-05-16","","","","St. Pius X Catholic","Atlanta","GA","USA","0000-00-00"
"camba01w","Elizabeth","","Cambage","","Elizabeth Cambage","","Liz","C","0","0","80","215","none","","1991-08-18","Southwark","","ENG","","","","","0000-00-00"
"campbed01w","Edna","","Campbell","","Edna Campbell","","","G","0","0","68","152","Texas","","1968-11-26","","","","","","","","0000-00-00"
"campbmi01w","Michelle","","Campbell","","Michelle Campbell","","","F-C","0","0","77","170","USC","","1974-02-20","","","","","","","","0000-00-00"
"cantydo01w","Dominique","","Canty","","Dominique Canty","","","G-F","0","0","69","162","Alabama","","1977-03-02","","","","Whitney Young","Chicago","IL","USA","0000-00-00"
"careyja01w","Jamie","","Carey","","Jamie Carey","","","G","0","0","66","135","Texas","","1981-03-12","","","","Horizon","Thornton","CO","USA","0000-00-00"
"carsoes01w","Essence","","Carson","","Essence Carson","","","G-F","0","0","72","165","Rutgers","","1986-07-28","","","","Eastside","Paterson","NJ","USA","0000-00-00"
"carteam01w","Amisha","","Carter","","Amisha Carter","","","F","0","0","74","185","Louisiana State","","1982-06-21","","","","","","","","0000-00-00"
"cartede01w","Deborah","","Carter","","Deborah Carter","","","G-F","0","0","72","185","Georgia","","1972-01-03","","","","","","","","0000-00-00"
"cartesy01w","Sydney","Rene","Carter","","Sydney Carter","","","G","0","0","66","0","Texas A&M","","1990-11-18","Dallas","TX","USA","DeSoto","DeSoto","TX","USA","0000-00-00"
"cashsw01w","Swintayla","Marie","Cash","","Swin Cash","","Swin","F","0","0","73","162","Connecticut","","1979-09-22","McKeesport","PA","USA","McKeesport Area","McKeesport","PA","USA","0000-00-00"
"cassija01w","Jamie","","Cassidy","","Jamie Cassidy","","","C","0","0","75","187","Maine","","1978-09-12","","","","","","","","0000-00-00"
"castriz01w","Iziane","","Castro Marques","","Iziane Castro Marques","","","F-G","0","0","72","140","","","1982-03-13","San Luis do Maranhao","MAR","BRA","","","","","0000-00-00"
"catchta01w","Tamika","Devonne","Catchings","","Tamika Catchings","","","F","0","0","73","167","Tennessee","","1979-07-21","Stratford","NJ","USA","Stevenson / Duncanville","Lincolnshire / Duncanville","IL / TX","USA","0000-00-00"
"caufila01w","LaNeishea","","Caufield","","LaNeishea Caufield","","","G","0","0","69","159","Oklahoma","","1980-05-25","","","","","","","","0000-00-00"
"cebriel01w","Elisabeth","","Cebrian Scheurer","","Elisabeth Cebrian","","Betty,Gigante Femenino","C","0","0","77","190","none","","1971-02-07","Reus,Taragona","","ESP","","","","","0000-00-00"
"chacoke01w","Keri","","Chaconas","","Keri Chaconas","","","G","0","0","69","151","George Mason","","1974-12-21","","","","","","","","0000-00-00"
"chambco01w","Cori","","Chambers","","Cori Chambers","","","G","0","0","69","160","Georgia","","1985-07-06","","","","","","","","0000-00-00"
"chancva99w","Van","","Chancellor","","Van Chancellor","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"chanequ01w","Quianna","","Chaney","","Quianna Chaney","","","G","0","0","71","160","Louisiana State","","1986-04-14","","","","","","","","0000-00-00"
"chapmji01w","Jill","","Chapman-Daily","","Jill Chapman-Daily","","","C","0","0","75","206","Indiana","","1979-11-04","","","","","","","","0000-00-00"
"charlda01w","Daedra","Janel","Charles","","Daedra Charles","Daedra Charles-Furlow","","F-C","0","0","75","141","Tennessee","","1968-11-22","Detroit","MI","USA","","","","","0000-00-00"
"charlti01w","Tina","Alexandria","Charles","","Tina Charles","","","C","0","0","76","198","Connecticut","","1988-12-05","Flushing","NY","USA","Christ the King","Middle Village","NY","USA","0000-00-00"
"chaseso01w","Sonia","Lynn","Chase","","Sonia Chase","","","G","0","0","69","150","Maryland","","1976-03-09","Baltimore","MD","USA","McDonough School","Owings Mills","MD","USA","0000-00-00"
"chatmda99w","Dana","","Chatman","","Dana Chatman","","Pokey","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"cheekjo01w","Joy","Kristin","Cheek","","Joy Cheek","","","F","0","0","73","201","Duke","","1988-06-25","Hyattsville","MD","USA","South Mecklenburg","Charlotte","NC","USA","0000-00-00"
"cheruam01w","Amy","","Cherubini","","Amy Cherubini","","","G","0","0","70","140","Indiana","","1970-04-18","","","","","","","","0000-00-00"
"chestfe01w","Felicia","","Chester","","Felicia Chester","","","F","0","0","75","180","DePaul","","1988-03-24","St. Louis","MO","USA","","","","","0000-00-00"
"choneka01w","Kaayla","","Chones","","Kaayla Chones","","","C","0","0","75","180","North Carolina State","","1981-01-11","","","","","","","","0000-00-00"
"chriska01w","Kayte","","Christensen","","Kayte Christensen","","","F","0","0","74","171","UC Santa Barbara","","1980-11-16","","","","","","","","0000-00-00"
"chriska02w","Karima","Brittany","Christmas","","Karima Christmas","","","F","0","0","72","180","Duke","","1989-09-11","Long Beach","CA","USA","J. Frank Dobie","Houston","TX","USA","0000-00-00"
"chrissh01w","Shameka","","Christon","","Shameka Christon","","","F","0","0","73","170","Arkansas","","1982-02-15","","","","","","","","0000-00-00"
"cironkr01w","Kristi","Mary Rose","Cirone","","Kristi Cirone","","","G","0","0","68","150","Illinois State","","1987-05-19","Chicago","IL","USA","Resurrection","Chicago","IL","USA","0000-00-00"
"clarkal01w","Alysha","","Clark","","Alysha Clark","","","F","0","0","70","167","Middle Tennessee State","","1987-07-07","","","","","","","","0000-00-00"
"clarkma01w","Margold","","Clark","","Margold Clark","","","F-C","0","0","75","0","Arizona","","1971-01-01","","","","Senn Metropolitan Academy","Chicago","IL","USA","0000-00-00"
"cleamji01w","Jim","","Cleamons","","Jim Cleamons","","","","0","0","0","0","","","0000-00-00","","","","","","","","0000-00-00"
"clearmi01w","Michelle","Louise","Chandler Cleary","","Michelle Cleary","Michelle Cleary","","G","0","0","66","126","Australian Institute of Sport","","1974-07-16","Geelong","VIC","AUS","","","","","0000-00-00"
"clinest01w","Stacy","","Clinesmith","","Stacy Clinesmith","","","G","0","0","65","148","UC Santa Barbara","","1978-04-22","","","","","","","","0000-00-00"
"coggicl01w","Claire","","Coggins","","Claire Coggins","","","G","0","0","71","170","Kansas State","","1985-05-19","Lee Summit","MO","USA","Lee Summit North","Lee Summit","MO","USA","0000-00-00"
"cokermo01w","Monique","","Coker","","Monique Coker","","","F","0","0","73","180","Old Dominion","","1982-11-28","","","","","","","","0000-00-00"
"colemco01w","Courtney","","Coleman","","Courtney Coleman","","","F","0","0","72","170","Ohio State","","1981-04-13","","","","","","","","0000-00-00"
